연도,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
1998,11,0,0,0,88150640,50758450,113777290,62929730,54938120,142288540,35946380,42400690,40137240,56654340,42428540,64819980,67275270,276150200,46186240,56161840,65948140,112921350,51106030,62242510,17429130,34057680,44149260,19850650,23148290,54289670,35799790,5524660,58433140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,12,0,0,0,90327150,53123190,129834620,63867470,57220350,150358040,40167980,46554310,42383360,55343720,43489060,65158340,70642780,310960100,48026460,58085510,66991780,121778160,53026900,61290800,18264960,37474420,45180020,20441490,23185020,55372970,34141850,6514490,50751910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,01,0,0,0,91441440,53217580,120775190,62744380,59671750,155722290,40029050,46444810,40394940,57914970,42596330,62950400,74213980,323559140,53352380,56689070,66405150,132022630,51272160,60456620,18344250,36236700,44678050,18147540,22353680,56245470,33471320,5208800,43341880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,02,0,0,0,82606930,49779880,116461160,59280190,54349610,145017610,35706260,41657700,37241530,49490750,37601310,54574730,68109770,309613520,47533520,52650430,61130520,116884410,48842780,58899280,16903960,34452140,41393450,17415920,21545640,52931070,30051290,5411870,41451300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,03,0,0,0,97768580,58160870,132310200,74340140,64163000,163109030,40713970,48467120,43727370,69641110,51448200,74514360,84859840,325268800,54075790,63814050,78143260,126879020,61932100,72055210,18819850,39916460,49285390,23846620,27574390,62735360,42127140,6741550,81131260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,04,0,0,0,94691980,54197450,127329920,68735620,59277120,156810500,39044210,46211350,41484970,63638310,47351010,67858090,78244470,293481220,52786230,59929550,72491790,122791080,56891460,68855500,18428700,38359770,46670960,20880610,25517850,61832900,39557660,6239200,67374340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,05,0,0,0,95815690,55329820,125442520,69587650,61085350,164224820,39511620,47104820,42605500,63977290,47828020,68839850,79138670,312720230,55638000,60401480,73128840,130972260,59034720,69667680,19533560,38770530,46893580,21084650,26252430,62691090,40764740,6397250,67634060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,06,0,0,0,86149690,50591120,139123440,63127770,55262920,138798490,36369070,43806960,39230900,57154650,41899870,61264480,71303940,278337530,47863560,53411010,67249890,111250960,54010150,60660340,17527760,35231860,43344720,19592750,26223080,58767050,36811900,5991420,52670370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,07,0,0,0,87916220,51495850,117323200,63466580,55184720,147281410,36264200,43795630,38297200,53726010,38922400,61066250,72324190,296658900,51739800,52458850,63221620,115912190,52112090,59910550,17839200,35286950,43310300,18695300,24039460,57589470,33267600,6790800,39811600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,08,0,0,0,85993570,49551790,111935380,56791460,54816430,146821080,35180390,42004850,36529150,54943400,39458720,56909000,69907900,278794350,52854510,50354250,61690900,119396420,49223000,56611000,17186350,34111450,41277050,17883170,22798330,54761400,33122860,5763510,45555300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
