연도,월,종합청사(㎥),월배기지(㎥),안심기지(㎥),문양기지(㎥),칠곡기지(㎥),범물기지(㎥),1호선 역사(㎥),2호선 역사(㎥),3호선 역사(㎥),경산관리소(㎥),사월관리소(㎥)
2016,01,821,1217,909,897,460,62,14336,5398,4634,66,87
2016,02,638,1631,635,767,540,65,11683,4467,4349,84,75
2016,03,767,1501,750,884,413,70,11080,3467,5269,69,71
2016,04,701,1507,753,999,443,65,10884,3145,5542,67,81
2016,05,739,1818,615,1133,506,46,11727,3630,6045,66,60
2016,06,754,1634,1035,1563,779,68,14616,4719,5641,78,77
2016,07,768,1860,762,2086,1107,81,13576,6551,5774,65,94
2016,08,3182,1792,961,1566,584,75,13432,4719,5822,75,97
2016,09,1190,1498,921,886,710,62,15782,5319,5634,76,75
2016,10,2130,1825,955,787,758,67,21134,6247,6494,69,74
2016,11,1018,2033,1165,830,711,75,15429,4348,5785,76,90
2016,12,729,1739,807,777,793,73,14292,3995,5345,78,85
