연도,월,종합청사(㎥),월배기지(㎥),안심기지(㎥),문양기지(㎥),칠곡기지(㎥),범물기지(㎥),1호선 역사(㎥),2호선 역사(㎥),3호선 역사(㎥),경산관리소(㎥),사월관리소(㎥)
2018,01,816,1347,1099,617,869,99,16022,5187,5183,83,60
2018,02,787,1181,843,543,607,62,13457,5794,4890,80,70
2018,03,969,1363,946,658,679,70,13009,3863,5836,71,53
2018,04,824,1671,915,762,617,58,11900,3129,4733,54,60
2018,05,1088,1530,904,777,696,72,13027,3847,6500,102,53
2018,06,1068,1594,1226,860,903,81,16332,6197,7268,72,65
2018,07,877,1386,925,1208,914,120,14706,5967,6200,75,79
2018,08,1157,1567,1087,1368,870,73,14759,5015,5697,76,87
2018,09,1623,1685,1216,977,982,74,18845,6455,6416,78,69
2018,10,1329,1847,1267,784,852,149,21156,7206,6420,67,84
2018,11,959,1676,1138,706,794,72,15613,5158,5630,79,70
2018,12,917,1365,843,653,859,73,14427,4041,6528,78,69
