연도,구분월(㎥),종합청사,월배기지,안심기지,문양기지,칠곡기지,범물기지,1호선 역사,2호선 역사,3호선 역사,경산관리소,사월관리소
2020,1,879,1846,989,913,767,88,15301,7993,5618,70,102
2020,2,959,1277,1013,941,579,90,13237,5807,4467,81,83
2020,3,978,1355,1049,536,621,66,12407,5232,2888,69,80
2020,4,853,1448,1443,944,649,78,10236,4404,3988,79,82
2020,5,1151,1463,1169,909,864,85,6776,3466,4917,72,68
2020,6,801,1657,1347,970,965,83,10705,3986,5363,75,75
2020,7,1157,1554,1204,742,812,110,11080,6929,5373,58,105
2020,8,1486,1944,1341,1391,830,82,11799,6152,5139,86,102
2020,9,1185,1733,1054,824,950,83,13564,7196,5282,65,86
2020,10,1478,1861,970,1373,1050,85,17630,7793,5667,68,87
2020,11,921,1879,1254,1086,1089,100,14218,6370,5915,66,90
2020,12,1017,1382,1059,1092,1282,89,12743,5238,4619,76,85
